FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAscc+TreeSet+lazyS+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyB+GBA,30,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,72,DifferenceAscc+TreeSet+BA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAscc+TreeSet+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAscc+TreeSet+lazyS+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAscc+TreeSet+lazyB+GBA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,117,DifferenceAscc+TreeSet+BA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceAscc+TreeSet+GBA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceAscc+TreeSet+lazyS+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceAscc+TreeSet+lazyB+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceAscc+TreeSet+BA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAscc+TreeSet+GBA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAscc+TreeSet+lazyS+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyB+GBA,26,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,37,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceAscc+TreeSet+BA,817,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceAscc+TreeSet+GBA,765,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceAscc+TreeSet+lazyS+GBA,121,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceAscc+TreeSet+lazyB+GBA,992,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,107,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceAscc+TreeSet+BA,720,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceAscc+TreeSet+GBA,606,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceAscc+TreeSet+lazyS+GBA,118,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceAscc+TreeSet+lazyB+GBA,677,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,125,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceAscc+TreeSet+BA,747,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceAscc+TreeSet+GBA,676,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceAscc+TreeSet+lazyS+GBA,127,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceAscc+TreeSet+lazyB+GBA,602,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,109,false
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,86,DifferenceAscc+TreeSet+BA,27,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAscc+TreeSet+GBA,30,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAscc+TreeSet+lazyS+GBA,31,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAscc+TreeSet+lazyB+GBA,24,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,26,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,86,DifferenceAscc+TreeSet+BA,30,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAscc+TreeSet+GBA,30,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAscc+TreeSet+lazyS+GBA,31,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAscc+TreeSet+lazyB+GBA,24,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,29,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,86,DifferenceAscc+TreeSet+BA,31,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAscc+TreeSet+GBA,25,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAscc+TreeSet+lazyS+GBA,27,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAscc+TreeSet+lazyB+GBA,30,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,25,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,38,DifferenceAscc+TreeSet+BA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,36,DifferenceAscc+TreeSet+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,36,DifferenceAscc+TreeSet+lazyS+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,35,DifferenceAscc+TreeSet+lazyB+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,35,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,37,DifferenceAscc+TreeSet+BA,19,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAscc+TreeSet+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAscc+TreeSet+lazyS+GBA,20,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAscc+TreeSet+lazyB+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,38,DifferenceAscc+TreeSet+BA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,36,DifferenceAscc+TreeSet+GBA,19,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,36,DifferenceAscc+TreeSet+lazyS+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,35,DifferenceAscc+TreeSet+lazyB+GBA,19,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,35,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,19,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,2075,DifferenceAscc+TreeSet+BA,122,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,2074,DifferenceAscc+TreeSet+GBA,131,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,251,DifferenceAscc+TreeSet+lazyS+GBA,50,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,2077,DifferenceAscc+TreeSet+lazyB+GBA,97,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,256,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,39,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAscc+TreeSet+BA,76,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAscc+TreeSet+GBA,56,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,162,DifferenceAscc+TreeSet+lazyS+GBA,37,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAscc+TreeSet+lazyB+GBA,57,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,166,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,38,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAscc+TreeSet+BA,75,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAscc+TreeSet+GBA,57,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,162,DifferenceAscc+TreeSet+lazyS+GBA,35,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAscc+TreeSet+lazyB+GBA,63,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,166,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,45,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,29,DifferenceAscc+TreeSet+BA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAscc+TreeSet+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAscc+TreeSet+lazyS+GBA,17,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAscc+TreeSet+lazyB+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,12,false
