FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAntichain+TreeSet+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyS+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAntichain+TreeSet+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAntichain+TreeSet+lazyS+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAntichain+TreeSet+lazyB+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,11750,DifferenceAntichain+TreeSet+GBA,1491,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,684,DifferenceAntichain+TreeSet+lazyS+GBA,60,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,11781,DifferenceAntichain+TreeSet+lazyB+GBA,1441,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,714,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,57,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,11750,DifferenceAntichain+TreeSet+GBA,1388,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,684,DifferenceAntichain+TreeSet+lazyS+GBA,56,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,11781,DifferenceAntichain+TreeSet+lazyB+GBA,1126,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,714,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,66,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,11750,DifferenceAntichain+TreeSet+GBA,1534,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,684,DifferenceAntichain+TreeSet+lazyS+GBA,59,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,11781,DifferenceAntichain+TreeSet+lazyB+GBA,1172,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,714,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,70,false
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAntichain+TreeSet+GBA,24,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAntichain+TreeSet+lazyS+GBA,18,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAntichain+TreeSet+lazyB+GBA,19,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,19,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAntichain+TreeSet+GBA,18,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAntichain+TreeSet+lazyS+GBA,17,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAntichain+TreeSet+lazyB+GBA,19,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,23,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAntichain+TreeSet+GBA,17,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceAntichain+TreeSet+lazyS+GBA,17,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAntichain+TreeSet+lazyB+GBA,18,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,17,true
