FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJ_ANTICHAIN,PAIR_DEL_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
pc_sfifo_2_false-unreach-call_false-termination.cil.c_Iteration12.ats,true,true,370,13,453,1487,151,0,0,0,1487,27168,ASCC,164,false
pc_sfifo_2_false-unreach-call_false-termination.cil.c_Iteration12.ats,true,true,370,13,453,1487,151,0,0,0,0,0,RABIT,60004,null
cstrpbrk_reverse_alloca_true-termination.c.i_Iteration3.ats,true,true,23,6,26,111,35,0,0,0,109,50,NCSB+Tarjan,1,false
cstrpbrk_reverse_alloca_true-termination.c.i_Iteration3.ats,true,true,23,6,26,111,35,0,0,19,109,48,ASCC+Antichain,1,false
cstrpbrk_reverse_alloca_true-termination.c.i_Iteration3.ats,true,true,23,6,26,111,35,0,0,0,109,50,ASCC,1,false
cstrpbrk_reverse_alloca_true-termination.c.i_Iteration3.ats,true,true,23,6,26,111,35,0,0,0,0,0,RABIT,404,false
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,0,19,27,NCSB+Tarjan,0,false
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,4,19,17,ASCC+Antichain,0,false
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,0,19,17,ASCC,0,false
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,0,0,0,RABIT,95,false
email_spec8_product20_false-unreach-call_true-termination.cil.c_Iteration2.ats,false,true,1318,6,2406,2065,1465,0,0,0,2065,3921,NCSB+Tarjan,108,true
email_spec8_product20_false-unreach-call_true-termination.cil.c_Iteration2.ats,false,true,1318,6,2406,2065,1465,2,18,2643,2065,2803,ASCC+Antichain,98,true
