FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJECT_ANTICHAIN,PAIR_DELETE_ANTICHAIN,PAIR_INGNORE_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration2.ats,true,true,8,6,10,48,17,0,0,0,0,0,0,RABIT,143,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,0,0,0,0,36,35,NCSB+Tarjan,5,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,1,0,3,10,36,35,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,0,0,0,0,36,35,ASCC,8,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,0,0,0,0,0,0,RABIT,179,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration4.ats,false,true,26,3,35,36,17,0,0,0,0,36,75,NCSB+Tarjan,8,true
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration4.ats,false,true,26,3,35,36,17,1,18,12,46,36,69,ASCC+Antichain,7,true
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration4.ats,false,true,26,3,35,36,17,0,0,0,0,36,75,ASCC,7,true
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration4.ats,false,true,26,3,35,36,17,0,0,0,0,0,0,RABIT,213,true
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,0,0,0,0,19,34,NCSB+Tarjan,5,true
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,1,10,5,19,19,33,ASCC+Antichain,5,true
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,0,0,0,0,19,34,ASCC,5,true
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,0,0,0,0,0,0,RABIT,182,true
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,15,5,19,45,16,0,0,0,0,38,30,NCSB+Tarjan,5,false
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,15,5,19,45,16,0,0,0,6,38,30,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,15,5,19,45,16,0,0,0,0,38,30,ASCC,5,false
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,15,5,19,45,16,0,0,0,0,0,0,RABIT,149,false
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3.ats,false,true,26,3,36,35,16,0,0,0,0,35,73,NCSB+Tarjan,7,true
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3.ats,false,true,26,3,36,35,16,1,8,18,45,35,60,ASCC+Antichain,7,true
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3.ats,false,true,26,3,36,35,16,0,0,0,0,35,73,ASCC,10,true
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3.ats,false,true,26,3,36,35,16,0,0,0,0,0,0,RABIT,221,true
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration2.ats,true,true,6,4,7,27,13,0,0,0,0,27,16,NCSB+Tarjan,4,false
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration2.ats,true,true,6,4,7,27,13,0,0,0,5,27,16,ASCC+Antichain,5,false
