FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJECT_ANTICHAIN,PAIR_DELETE_ANTICHAIN,PAIR_INGNORE_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
count_down-alloca_true-termination.c.i_ORIGINAL_Iteration6.ats,false,false,49,7,56,34,33,0,0,0,0,0,73,DifferenceTarjan+TreeSet+lazyS+GBA,21,true
count_down-alloca_true-termination.c.i_ORIGINAL_Iteration6.ats,false,false,49,7,56,34,33,0,0,0,0,0,74,DifferenceTarjan+TreeSet+lazyB+BA,20,true
count_down-alloca_true-termination.c.i_ORIGINAL_Iteration6.ats,false,false,49,7,56,34,33,0,0,0,0,0,73,DifferenceTarjan+TreeSet+lazyB+GBA,30,true
count_down-alloca_true-termination.c.i_ORIGINAL_Iteration6.ats,false,false,49,7,56,34,33,0,0,0,0,0,74,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,21,true
count_down-alloca_true-termination.c.i_ORIGINAL_Iteration6.ats,false,false,49,7,56,34,33,0,0,0,0,0,73,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,20,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,66,DifferenceTarjan+TreeSet+BA,25,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,64,DifferenceTarjan+TreeSet+GBA,25,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,60,DifferenceTarjan+TreeSet+lazyS+BA,27,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,58,DifferenceTarjan+TreeSet+lazyS+GBA,25,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,85,DifferenceTarjan+TreeSet+lazyB+BA,31,false
