FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceTarjan+TreeSet+lazyS+GBA,33,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceTarjan+TreeSet+lazyB+BA,34,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceTarjan+TreeSet+lazyB+GBA,49,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,35,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,117,DifferenceTarjan+TreeSet+BA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+GBA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,117,DifferenceTarjan+TreeSet+lazyS+BA,35,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+lazyS+GBA,40,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+lazyB+BA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceTarjan+TreeSet+lazyB+GBA,32,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,37,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,47,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceTarjan+TreeSet+BA,52,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+GBA,57,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceTarjan+TreeSet+lazyS+BA,36,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+lazyS+GBA,108,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+lazyB+BA,83,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceTarjan+TreeSet+lazyB+GBA,73,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,91,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,99,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,72,DifferenceTarjan+TreeSet+BA,25,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceTarjan+TreeSet+GBA,57,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,72,DifferenceTarjan+TreeSet+lazyS+BA,69,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceTarjan+TreeSet+lazyS+GBA,65,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceTarjan+TreeSet+lazyB+BA,56,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceTarjan+TreeSet+lazyB+GBA,59,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,44,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,25,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,117,DifferenceTarjan+TreeSet+BA,76,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+GBA,48,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,117,DifferenceTarjan+TreeSet+lazyS+BA,55,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+lazyS+GBA,95,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+lazyB+BA,60,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceTarjan+TreeSet+lazyB+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,50,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,85,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceTarjan+TreeSet+BA,81,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+GBA,71,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceTarjan+TreeSet+lazyS+BA,161,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+lazyS+GBA,48,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+lazyB+BA,41,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceTarjan+TreeSet+lazyB+GBA,37,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,127,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,76,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceTarjan+TreeSet+BA,2013,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceTarjan+TreeSet+GBA,1548,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceTarjan+TreeSet+lazyS+BA,352,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceTarjan+TreeSet+lazyS+GBA,249,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceTarjan+TreeSet+lazyB+BA,2132,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceTarjan+TreeSet+lazyB+GBA,1294,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,218,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,198,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceTarjan+TreeSet+BA,1216,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceTarjan+TreeSet+GBA,1168,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceTarjan+TreeSet+lazyS+BA,301,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceTarjan+TreeSet+lazyS+GBA,151,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceTarjan+TreeSet+lazyB+BA,1561,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceTarjan+TreeSet+lazyB+GBA,850,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,388,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,280,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceTarjan+TreeSet+BA,1106,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,15684,DifferenceTarjan+TreeSet+GBA,1047,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceTarjan+TreeSet+lazyS+BA,219,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,947,DifferenceTarjan+TreeSet+lazyS+GBA,224,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceTarjan+TreeSet+lazyB+BA,919,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,15763,DifferenceTarjan+TreeSet+lazyB+GBA,1240,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,233,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,326,false
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,86,DifferenceTarjan+TreeSet+BA,74,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceTarjan+TreeSet+GBA,84,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,86,DifferenceTarjan+TreeSet+lazyS+BA,41,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceTarjan+TreeSet+lazyS+GBA,55,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceTarjan+TreeSet+lazyB+BA,57,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceTarjan+TreeSet+lazyB+GBA,65,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,84,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,59,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,83,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,71,true
